sec,nsec
8331,551182744
8331,560993331
8331,570807460
8331,581616480
8331,591427848
8331,601236404
8331,611050064
8331,620861068
8331,631673422
8331,641485623
8331,651296888
8331,661104610
8331,670915978
8331,680726044
8331,691535690
8331,701344767
8331,711155562
8331,720971774
8331,730783351
8331,741592371
8331,751405719
8331,761217712
8331,771029341
8331,780837428
8331,791648428
8331,801456254
8331,811268872
8331,821077584
8331,830889057
8331,841700630
8331,851512102
8331,861324043
8331,871137287
8331,880949280
8331,890760856
8331,901569252
8331,911382599
8331,921195947
8331,931042471
8331,940856548
8331,951666089
8331,961475791
8331,971289451
8331,981144569
8331,990988333
8332,000805430
8332,010827892
8332,020831915
8332,030837710
8332,040842150
8332,050846278
8332,060847021
8332,070851461
8332,080856006
8332,090860238
8332,100861553
8332,110891931
8332,120735279
8332,131550237
8332,141363324
8332,151176150
8332,160988039
8332,170799668
8332,181608064
8332,191419484
8332,201228405
8332,211046544
8332,220854943
8332,231666724
8332,241475645
8332,251304409
8332,261128798
8332,270944228
8332,280756013
8332,291568003
8332,301377704
8332,311196208
8332,321009503
8332,330821757
8332,341629892
8332,351441469
8332,361252629
8332,371063945
8332,380871928
8332,391683240
8332,401491900
8332,411305873
8332,421114116
8332,430964026
8332,440780238
8332,451595769
8332,461409012
8332,471218662
8332,481032530
8332,490841919
8332,501652658
8332,511470589
8332,521284353
8332,531096815
8332,540911256
8332,550722677
8332,561531124
8332,571342857
8332,581151153
8332,590959083
8332,600766806
8332,611582077
8332,621391674
8332,631199709
8332,641010661
8332,650821820
8332,661629643
8332,671438668
8332,681248994
8332,691100987
8332,700918502
8332,710734714
8332,721546963
8332,731358644
8332,741169856
8332,750984870
8332,760795561
8332,771604999
8332,781413763
8332,791221485
8332,801029260
8332,810844274
8332,821693763
8332,831508934
8332,841322281
8332,851134587
8332,860947830
8332,870756230
8332,881568427
8332,891380368
8332,901189914
8332,911003417
8332,920817025
8332,931677608
8332,941496685
8332,951313418
8332,961129005
8332,970943706
8332,980756741
8332,991566647
8333,001378484
8333,011398602
8333,021402157
8333,031403785
8333,041408486
8333,051413030
8333,061413460
8333,071413578
8333,081417758
8333,091421469
8333,101423618
8333,111426183
8333,121238437
8333,131047149
8333,140858153
8333,151666548
8333,161478854
8333,171290952
8333,181105757
8333,190916813
8333,200726254
8333,211540848
8333,221350133
8333,231158584
8333,240967974
8333,250794446
8333,261616279
8333,271429001
8333,281238443
8333,291050957
8333,300860919
8333,311673742
8333,321486204
8333,331297884
8333,341106336
8333,350913850
8333,360724229
8333,371535437
8333,381343524
8333,391206819
8333,401064958
8333,410952368
8333,420837434
8333,431693121
8333,441516156
8333,451331534
8333,461143059
8333,470953698
8333,480767254
8333,491578410
8333,501389049
8333,511203855
8333,521081577
8333,530959924
8333,540828323
8333,551649583
8333,561464598
8333,571276382
8333,581089105
8333,590901254
8333,601716473
8333,611541487
8333,621354366
8333,631165422
8333,640977988
8333,650790450
8333,661598689
8333,671407453
8333,681219290
8333,691029252
8333,700838225
8333,711648756
8333,721461999
8333,731273419
8333,741082756
8333,750895635
8333,761704968
8333,771514305
8333,781321924
8333,791129646
8333,800937264
8333,810753112
8333,821561247
8333,831368761
8333,841180129
8333,850992071
8333,860808908
8333,871617928
8333,881425703
8333,891237540
8333,901046564
8333,910856162
8333,921668047
8333,931516551
8333,941332294
8333,951142516
8333,960952166
8333,970762284
8333,981570888
8333,991382100
8334,001193573
8334,011207805
8334,021213391
8334,031215592
8334,041217376
8334,051222598
8334,061222924
8334,071223354
8334,081227169
8334,091231245
8334,101231571
8334,111235386
8334,121101754
8334,130932445
8334,140754126
8334,151563876
8334,161376078
8334,171187290
8334,180996054
8334,190803620
8334,201615766
8334,211432238
8334,221244544
8334,231053516
8334,240900145
8334,250754169
8334,261579700
8334,271391225
8334,281204832
8334,291017399
8334,300825850
8334,311640288
8334,321455302
8334,331267816
8334,341075955
8334,350883625
8334,361695302
8334,371506566
8334,381315435
8334,391123001
8334,400931036
8334,410747560
8334,421556685
8334,431402220
8334,441217182
8334,451028029
8334,460837731
8334,471647429
8334,481459057
8334,491267874
8334,501079242
8334,510893058
8334,521702339
8334,531515530
8334,541324138
8334,551131861
8334,560942864
8334,570755222
8334,581563566
8334,591371132
8334,601179115
8334,610992723
8334,620805133
8334,631613580
8334,641425417
8334,651236577
8334,661044977
8334,670852960
8334,681666407
8334,691478036
8334,701287842
8334,711100564
8334,720910214
8334,731719495
8334,741529457
8334,751340148
8334,761149954
8334,770958301
8334,780770086
8334,791578065
8334,801387246
8334,811202469
8334,821018003
8334,830870830
8334,841690111
8334,851504292
8334,861319879
8334,871130257
8334,880942042
8334,890753827
8334,901564254
8334,911378383
8334,921190532
8334,931037473
8334,940866342
8334,951713175
8334,961528553
8334,971345755
8334,981154779
8334,990967450
8335,000781526
8335,010801644
8335,020808793
8335,030810681
8335,040814809
8335,050819093
8335,060823638
8335,070824224
8335,080828196
8335,090832532
8335,100833743
8335,110837975
8335,121651371
8335,131462323
8335,141273795
8335,151083236
8335,160891271
8335,171703625
8335,181511764
8335,191325112
8335,201139032
8335,210958682
8335,220770935
8335,231579435
8335,241388668
8335,251215297
8335,261043019
8335,270854179
8335,281666845
8335,291479932
8335,301289842
8335,311101575
8335,320915756
8335,330728478
8335,341536718
